date,product,sales,region,category,price,quantity,customer_satisfaction
2023-01-15,Laptop,125000,North,Electronics,2500,50,4.2
2023-01-20,Phone,89000,South,Electronics,890,100,4.0
2023-02-10,Tablet,45000,East,Electronics,900,50,4.1
2023-02-15,Laptop,156000,West,Electronics,2600,60,4.3
2023-03-05,Headphones,23000,North,Electronics,230,100,4.4
2023-03-12,Phone,98000,South,Electronics,980,100,4.2
2023-04-08,Monitor,67000,East,Electronics,670,100,4.5
2023-04-22,Laptop,189000,North,Electronics,2700,70,4.6
2023-05-03,Mouse,12000,West,Electronics,120,100,3.9
2023-05-18,Keyboard,18000,South,Electronics,180,100,4.0
2023-06-01,Tablet,52000,East,Electronics,1040,50,4.2
2023-06-14,Phone,112000,North,Electronics,1120,100,4.3
2023-07-07,Laptop,203000,West,Electronics,2900,70,4.7
2023-07-21,Headphones,28000,South,Electronics,280,100,4.1
2023-08-05,Monitor,78000,East,Electronics,780,100,4.4
2023-08-19,Phone,134000,North,Electronics,1340,100,4.5
2023-09-02,Laptop,234000,South,Electronics,3000,78,4.8
2023-09-16,Tablet,63000,West,Electronics,1260,50,4.3
2023-10-01,Mouse,15000,East,Electronics,150,100,4.1
2023-10-15,Keyboard,22000,North,Electronics,220,100,4.2
2023-11-08,Phone,167000,West,Electronics,1670,100,4.6
2023-11-22,Laptop,267000,South,Electronics,3200,83,4.9
2023-12-05,Headphones,34000,East,Electronics,340,100,4.3
2023-12-19,Monitor,89000,North,Electronics,890,100,4.7
